Event ID,Title,Description,Event Type,Event DateTime,Duration (min),Location,Special?
880854,18th Annual Frances Litten Botanical Lecture: Planning for Resilient Gardens: Integrating Ecological Restoration Techniques &amp; Landscape Design,"Please RSVP here. Featuring the New Direction of American Landscape's founder Larry WeanerFestival Conference Center Ballroom  Tuesday, February 20 | Reception 6 PM | Lecture 7 PMJoin  us for a spirited evening at the Festival Conference Center Ballroom.  Dive into the realm of landscape architecture and design with renowned  landscape designer Larry Weaner. Discover how to incorporate and work  with the ecological patterns and processes associated with native  plants and why native plants are, rightfully, taking center  stage. Explore ways of integrating ecological restoration techniques and  traditional design aesthetics to achieve beautiful, diverse landscapes  for varied situations—from small gardens to large, multi-acre projects.  Meadows, old fields, and woodland projects are shown in detail, from the  conceptual stage to full establishment and management, illustrating the  exciting results that can be achieved when ecological restoration is  combined with the visual art of landscape design.Larry Weaner, FAPLD,  president and founder of Larry Weaner Landscape Associates, established  New Directions in the American Landscape in 1990. He is nationally  recognized for combining expertise in horticulture, landscape design,  and ecological restoration. His design and restoration work spans more  than twenty US states and the UK, and has been profiled in national  publications, including The New York Times, The Wall Street Journal, Landscape Architecture Magazine, Garden Design, American Gardener, Wildflower Magazine,  and ASLA’s “The Dirt” blog. Larry has presented at the American Society  of Landscape Architects (ASLA) annual and state chapter meetings,  Association of Professional Landscape Designers (APLD) events, and many  others. His book, Garden Revolution: How Our Landscapes Can Be a Source of Environmental Change (2016)  received an American Horticultural Society (AHS) Book Award in 2017. In  2021 he received the AHS Landscape Design Award and the APLD Award of  Distinction.Admission to this event is FREE; however, your donation is much appreciated.  ",Speaker,2/20/2024 7:00:00 PM,90,Festival Ballroom Grand,False
853270,Chi Alpha Tuesday Night Live,,Religious Activity,2/20/2024 8:00:00 PM,90,Festival Highlands Room,False
854650,JMU Jazz Ensemble and Jazz Band,"  The JMU Jazz Ensemble and Jazz Band were founded in 1971 and are under the direction of Dr. Chuck Dotas; membership in each ensemble is determined via audition each semester. JMU jazz groups have performed at the Kennedy Center for the Performing Arts’ Terrace Theater, Montreux International Jazz and Blues Festival, North Sea Jazz Festival and VMEA annual convention.   The JMU Jazz Ensemble has been featured with the U.S. Navy Commodores Jazz Ensemble and U.S. Air Force Airmen of Note Jazz Ensemble and at the East Coast Jazz Festival in Rockville, Maryland. The ensemble has performed with renowned artists like Bobby McFerrin and esteemed jazz vocalist Sheila Jordan.   Chilean-born Melissa Aldana, the Grammy-nominated saxophonist and composer, will make a guest appearance in this concert playing with JMU Jazz Ensemble.     BUY SINGLE TICKETS   Price  Regular: $12  JMU Fac/Staff: $10  Senior (62+): $10  Students: $5  STUDENT TICKETS: One per ID. JMU Student - In Person and online via student login. Other Student - In Person only.  TICKETS: Online, box office (in person at 147 Warsaw Ave. or by phone at 540.568.7000).   Seating: Reserved   Patron Policies          ",Performance,2/20/2024 8:00:00 PM,0,"Forbes Center, Concert Hall",False
870172,Tuesday Night Trivia,,Social,2/20/2024 8:00:00 PM,120,"The Union, TDU Stage",False
862732,Younglife College,,Social,2/20/2024 8:00:00 PM,60,"The Union, Taylor 405",False
872631,JMU Students Making a Difference in Environmental Health,,Outreach,2/21/2024 10:00:00 AM,60,EnGeo 2207 - Science on a Sphere,False
879729,Academic Success Program Workshop:  Time Management,,Workshop,2/21/2024 11:00:00 AM,60,Success Center 4049,False
877715,Closure to Courage Part 3,,Workshop,2/21/2024 11:00:00 AM,60,Success Center 1075,False
845944,Off Campus Life Spring Housing Fair,Housing Fairs are large-scale events that the Off-Campus Life office hosts twice an academic year. The fairs are essentially a one-stop shop experience for available student housing as we welcome student housing providers in the area to advertise to all JMU students what they have to offer. It is important to note that inclusion in the event does not constitute an endorsement of these properties by the university.,Fair,2/21/2024 11:00:00 AM,180,Festival Ballroom Grand,False
873102,JMU Students Making a Difference in Environmental Health,,Outreach,2/21/2024 11:15:00 AM,60,EnGeo 2207 - Science on a Sphere,False
874933,Adobe Illustrator Basics for Vinyl Cutter and Laser Cutter,,Workshop,2/21/2024 2:30:00 PM,60,Rose Library room 5308,False
879222,Anxiety Toolbox Part 3,,Workshop,2/21/2024 2:45:00 PM,60,Success Center 1075,False
879775,Academic Success Program Workshop:  Self-Care,,Workshop,2/21/2024 3:00:00 PM,60,"The Union, Taylor 309",False
872360,JMU Baseball vs Virginia Tech,Come support the Dukes as they kick off the 2024 baseball season with their home opener against Virginia Tech! ,Competition - Athletic,2/21/2024 3:00:00 PM,150,Veteran Memorial Baseball Stadium (Eagle Field),False
845945,Tea Time,,Social,2/21/2024 3:00:00 PM,120,The Union 3rd Floor Lounge,False
874692,Science and Math Learning Center Tutoring East Campus Student Services,,Instruction,2/21/2024 3:30:00 PM,240,EnGeo 0303 ,False
879223,Anxiety Toolbox Part 1,,Workshop,2/21/2024 5:15:00 PM,60,Success Center 1075,False
876363,Practicing Presence in Plain Sight: A Collaborative Meditation with Dr. Mark Gabriele,,Wellness,2/21/2024 5:30:00 PM,60,"The Union, Warren 419 (The Serenity Center)",False
880916,JMU Hillel Schmooze with Jews,,Social,2/21/2024 6:00:00 PM,120,Festival Conference Room 2,False
876198,Kappa Alpha Theta Fraternity Feud,,Special Event,2/21/2024 6:00:00 PM,180,Grafton-Stovall Theatre,False
868201,Learn to Boulder,  Learn more and sign up on urecregister.jmu.edu! ,Recreational Event,2/21/2024 6:00:00 PM,90,UREC Adventure Instruction (Room 135),False
868493,Party Smart ,   REGISTER,Wellness - UREC,2/21/2024 6:00:00 PM,60,UREC Meeting Room (Room 124),False
867925,Swim Fitness Series, Learn more and sign up on urecregister.jmu.edu!,Instruction,2/21/2024 6:00:00 PM,60,UREC Pool (Lane 6),False
865108,Friendly Foods: Gluten &amp; Dairy Free ,  Learn more and sign up on urecregister.jmu.edu! ,Wellness - UREC,2/21/2024 6:30:00 PM,60,UREC Demo Kitchen (Room 129a),False
880003,What Your Filter Can&#39;t Hide,,Information Session,2/21/2024 6:30:00 PM,60,HBS G040,False
865831,Have a Look below the Label , Learn more and sign up on urecregister.jmu.edu!,Recreational Event,2/21/2024 7:00:00 PM,60,UREC Club Room (Room 220),False
853353,RUF Large Group,,Religious Activity,2/21/2024 8:00:00 PM,60,"The Union, Taylor 405",False
880733,College of Arts and Letters Career Conf,,Conference,2/22/2024 9:00:00 AM,420,"The Union, Taylor 306",False
872632,JMU Students Making a Difference in Environmental Health,,Outreach,2/22/2024 9:00:00 AM,60,EnGeo 2207 - Science on a Sphere,False
879228,Anxiety Toolbox 3,,Workshop,2/22/2024 9:45:00 AM,60,Success Center 1075,False
867054,Crafternoon,,Social,2/22/2024 12:00:00 PM,180,The Union Info / Sales Table 2 (3rd Floor Warren),False
880571,JMU Flea Market,,Special Event,2/22/2024 12:00:00 PM,300,"The Union, Warren 256",False
877105,Coffee w/ the Deans,,Reception,2/22/2024 1:00:00 PM,90,Hartman Hall 2021,False
869956,Listen Well,REGISTER,Wellness - UREC,2/22/2024 1:00:00 PM,60,UREC Meeting Room (Room 124),False
874676,"Science and Math Learning Center Tutoring, East Campus Services",,Instruction,2/22/2024 2:00:00 PM,300,EnGeo 0303 ,False
877084,Teacher Recruitment Day Resume Review Drop-in, Looking for some additional strategies to find your next job opportunity? Interested in a quick review of your resume? Come and join the University Career Center to go through your resume with a professional career coach!  Click here to learn more,Workshop,2/22/2024 3:30:00 PM,120,Virtual,False
875157,Adult and Pediatric CPR/First Aid/AED Class, Learn more and sign up on urecregister.jmu.edu! ,Instruction,2/22/2024 4:30:00 PM,150,UREC Wet Classroom (Room 133),False
872235,JMU Lacrosse vs Towson,,Competition - Athletic,2/22/2024 5:00:00 PM,120,Sentara Park Competition Field,False
855819,"Spring 2024 Furious Flower Reading Series, Sean Hill: Poetry Reading",,Speaker,2/22/2024 5:00:00 PM,120,Festival Highlands Room,False
868188,Learn to Belay and Climb,  Learn more and sign up on urecregister.jmu.edu! ,Recreational Event,2/22/2024 6:00:00 PM,120,UREC Adventure Instruction (Room 135),False
867369,NEDA (National Eating Disorder Awareness) Panel ,REGISTER,Wellness - UREC,2/22/2024 6:00:00 PM,60,UREC Club Room (Room 220),False
865115,Global Cuisine ,  Learn more and sign up on urecregister.jmu.edu! ,Wellness - UREC,2/22/2024 6:30:00 PM,60,UREC Demo Kitchen (Room 129a),False
846097,Underground Sound Concert Series ,,Concert,2/22/2024 6:30:00 PM,90,"The Union, TDU Stage",False
865978,Black History Month Speaker Dr. Stephen Quaye,"Join CMSS for the Black History Keynote Speaker, Dr. Stephen Quaye. Dr. Quaye is a professor in the Higher Education and Student Affairs Program within the Department of Educational Studies, and will discuss supporting Black student activism across college campuses, and using a racial justice lens to enhance their experiences.",Speaker,2/22/2024 7:00:00 PM,90,"The Union, Warren 256",False
880004,What even is the University Career Center?,,Information Session,2/22/2024 7:00:00 PM,60,HBS G040,False
856260,New &amp; Improv &#39;d Show,,Performance,2/22/2024 9:00:00 PM,60,"The Union, TDU Stage",False
868237,Try A Kayak,  Learn more and sign up on urecregister.jmu.edu! ,Recreational Event,2/22/2024 9:00:00 PM,120,UREC Pool (Lane 1),False
876961,UPB Late Night Breakfast ," Celebrate the end of JMU's annual Giving Day at Late Night Breakfast! Activities will include arcade games, crafts and much more!Menu:Pancake BarBaconTater TotsFruitCookiesOrange Juice and Water",Meal,2/22/2024 10:00:00 PM,120,Festival Lower Drum,False
880152,Registration for College of Arts and Letters Career Conference - Hospitality,,Registration,2/23/2024 8:30:00 AM,270,"The Union, Taylor 307",False
872633,JMU Students Making a Difference in Environmental Health,,Outreach,2/23/2024 10:00:00 AM,60,EnGeo 2207 - Science on a Sphere,False
846380,Red Cross Blood Drive - Physician Assistant Program,,Blood Drive,2/23/2024 10:00:00 AM,360,Festival Highlands Room,False
873103,JMU Students Making a Difference in Environmental Health,,Outreach,2/23/2024 11:15:00 AM,60,EnGeo 2207 - Science on a Sphere,False
865120,Pinterest Inspired Meals ,  Learn more and sign up on urecregister.jmu.edu! ,Wellness - UREC,2/23/2024 12:00:00 PM,60,UREC Demo Kitchen (Room 129a),False
875402,UCC Headshots," The University Career Center Media Team will take a few professional headshots (photos) that can be used anywhere you need a good profile photo (i.e. LinkedIn profile, Handshake profile, website, online portfolio, etc.).  We will use a high quality camera to take several photos plus we will edit them nicely so that they are readily usable.  No registration needed, and they're FREE!https://www.jmu.edu/career/events/headshots/index.shtml ",Photo,2/23/2024 12:30:00 PM,60,"Student Success Center, Skybridge",False
880912,Gallery Opening: &quot;Alligator Alley&quot;,,Art Exhibit,2/23/2024 1:00:00 PM,90,"The Union, Warren 2nd Floor Gallery",False
874911,Laser Cutting 101: Intro &amp; Basics,Make something of your own on the Glowforge laser cutter in The Makery! Take this workshop to explore the basics of laser cutting including how to use the computer numerical control (CNC) machine. Held in The Makery in Rose Library. This is not a series—you’ll want to sign up for one of these available dates.,Workshop,2/23/2024 2:00:00 PM,75,Rose Library Makery (1st Floor),False
872361,JMU Baseball vs Fairfield,,Competition - Athletic,2/23/2024 3:00:00 PM,150,Veteran Memorial Baseball Stadium (Eagle Field),False
868773,Ski Spree at Massanutten, Learn more and sign up on urecregister.jmu.edu!,Recreational Event,2/23/2024 3:30:00 PM,390,Adventure Trip 2,False
880161,Ramen Cooking Class,"Join JMU Dining and The Pantry for an exclusive cooking class! Learn how to make delicious, upscale ramen on a budget with minimal supplies. Guests will be able to taste test the dish and receive a free recipe book and gift.",Workshop,2/23/2024 5:00:00 PM,0,East Campus Dining Hall,False
876185,JMU Bible and Prayer Fellowship,,Religious Activity,2/23/2024 6:30:00 PM,150,"The Union, Taylor 302",False
865222,UPB Presents: The Royal Riff-Off,,Special Event,2/23/2024 7:00:00 PM,120,Wilson Hall Auditorium,False
846108,UPB Movie: Black Panther,,Film,2/23/2024 7:30:00 PM,180,Grafton-Stovall Theatre,False
868721,Ski and Snowboard Trip to Wintergreen, Learn more and sign up on urecregister.jmu.edu!,Recreational Event,2/24/2024 8:00:00 AM,600,Adventure Trip 1,False
872362,JMU Baseball vs Fairfield,,Competition - Athletic,2/24/2024 2:00:00 PM,150,Veteran Memorial Baseball Stadium (Eagle Field),False
880442,Swing Dance Social Dance,,Dance,2/24/2024 5:30:00 PM,270,UREC Mind / Body Studio 1 (Room 385),False
868145,Full Moon Hike,   Learn more and sign up on urecregister.jmu.edu!,Recreational Event,2/24/2024 7:00:00 PM,180,Adventure Trip 1,False
868707,Cross Country Ski Trip to White Grass, Learn more and sign up on urecregister.jmu.edu!,Recreational Event,2/25/2024 8:00:00 AM,540,Adventure Trip 1,False
867911,Group Swim Lessons, Learn more and sign up on urecregister.jmu.edu!,Instruction,2/25/2024 11:00:00 AM,150,UREC Multi-Activity Pool,False
872242,JMU Lacrosse vs Albany,,Competition - Athletic,2/25/2024 12:00:00 PM,120,Sentara Park Competition Field,False
867919,Group Swim Lessons - Adult Skills,Learn more and sign up on urecregister.jmu.edu!,Instruction,2/25/2024 12:15:00 PM,45,UREC Pool (Lane 1),False
872363,JMU Baseball vs Fairfield,,Competition - Athletic,2/25/2024 1:00:00 PM,150,Veteran Memorial Baseball Stadium (Eagle Field),False
864316,Cooking with Seasonal Produce ,  Learn more and sign up on urecregister.jmu.edu! ,Wellness - UREC,2/25/2024 6:30:00 PM,60,UREC Demo Kitchen (Room 129a),False
869954,More than Measures ,REGISTER,Wellness - UREC,2/25/2024 6:30:00 PM,60,UREC Meeting Room (Room 124),False
853647,Catholic Campus Ministry Mass,,Religious Activity,2/25/2024 9:00:00 PM,75,Festival Highlands Room,False
877693,Anxiety Toolbox 2,"Anxiety Toolbox offers one of the quickest ways to access evidence-based strategies and interventions to reduce anxiety symptoms. This series consists of three 50-minute structured workshops that build on the information shared in each part:  Part 2 assists with understanding the situations and thoughts that can increase and maintain your anxiety, and provides an opportunity to practice a useful relaxation technique and reduce tension. ",Workshop,2/26/2024 9:30:00 AM,60,"Student Success Center, Counseling Center, 3105",False
880808,The History of Black Minds of All Kinds,,Information Table,2/26/2024 10:00:00 AM,120,Student Success Center Indoor Information Table,False
876657,Stress and Anxiety Management,"Everyone experiences stress for a variety of reasons but do we all know when stress is actually anxiety? Or ways to manage it in a healthy way? If you’re not sure or would like to learn more ways to differentiate stress from anxiety and ways to better cope, then join us for this workshop. NO REGISTRATION REQUIRED – This is a first come, first serve event.",Workshop,2/26/2024 11:00:00 AM,60,"Student Success Center, 3240",False
877694,Anxiety Toolbox (Part 1),,Workshop,2/26/2024 1:00:00 PM,60,"Student Success Center, Counseling Center, 3105",False
876640,"Social Media and Other Digital Technology: Friend, Foe or Both? ",,Workshop,2/26/2024 2:00:00 PM,90,Success Center 4049,False
879600,Mending Hour,Did you tear a hole in your favorite pants? Got a shirt you want cropped or a cute dress that’s just a little too long? Lost a button? Bring your clothes that could use a little attention and we’ll work together to fix them up. All supplies provided! Held in The Makery in Rose Library. No registration required. Just drop by between 4 and 5 p.m. during one of our Mending Hours dates!,Workshop,2/26/2024 4:00:00 PM,60,Rose Library Makery (1st Floor),False
881639,Girl Scout Cookie Booth,,Vendor Sales,2/26/2024 5:00:00 PM,180,The Union Patio 1,False
872413,Black Card Revoked ,,Social,2/26/2024 5:30:00 PM,180,"The Union, Taylor 306",False
865121,Pinterest Inspired Meals ,  Learn more and sign up on urecregister.jmu.edu! ,Wellness - UREC,2/26/2024 6:30:00 PM,60,UREC Demo Kitchen (Room 129a),False
877695,Anxiety Toolbox (Part 2)," Anxiety Toolbox offers one of the quickest ways to access evidence-based strategies and interventions to reduce anxiety symptoms. This series consists of three 50-minute structured workshops that build on the information shared in each part:Part 2 assists with understanding the situations and thoughts that can increase and maintain your anxiety, and provides an opportunity to practice a useful relaxation technique and reduce tension.",Workshop,2/27/2024 9:30:00 AM,60,"Student Success Center, Counseling Center, 3105",False
876658,Compassion Fatigue and Vicarious Trauma," Join us to learn more about the best ways to help someone who has experienced trauma while also reducing the risk of experiencing compassion fatigue or even vicarious trauma. No registration required, first come – first serve.",Workshop,2/27/2024 10:00:00 AM,60,"Student Success Center, 3240",False
879373,Coffee and coloring,,Outreach,2/27/2024 11:00:00 AM,90,HBS 4005 Prac App Lab,False
867562,Intuitive Eating Workshop-Part 3,,Wellness -- UHC,2/27/2024 11:00:00 AM,60,Success Center 1075,False
880001,University Career Fair,"This career fair is open to all JMU students across all majors and class years, as over 70 employers from multiple industries are coming to campus to recruit JMU talent from all academic programs for different jobs, internships, and career opportunities.",Major Event,2/27/2024 11:00:00 AM,240,Festival Ballroom Grand,False
877696,Anxiety Toolbox (Part 3),,Workshop,2/27/2024 12:45:00 PM,60,"Student Success Center, Counseling Center, 3105",False
876659,Dealing with Depression," Learn more about how to help someone showing signs of depression and/or what can you do if you are experiencing symptoms. This presentation will provide information about signs and symptoms, causes of depression, ways to reduce symptoms, and resources available. No registration required, first come - first serve.",Workshop,2/27/2024 1:00:00 PM,60,"Student Success Center, 3240",False
874885,Mixed Media Painting,Join this in-person workshop for a relaxing hour of creating mixed media art using acrylic paints and household items. All supplies provided! Held in Rose Library room 5308. This is not a series—you’ll want to sign up for one of these available dates. ,Workshop,2/27/2024 2:00:00 PM,60,Rose Library TLT (5308),False
874922,Sewing 101, Walk through a simple sewing project using the sewing machines at the The Makery in Rose Library. All supplies provided! This is not a series—you’ll want to sign up for one of the available dates. ,Workshop,2/27/2024 2:30:00 PM,90,Rose Library Makery (1st Floor),False
877697,Cope60,Cope60 offers the quickest way to learn evidence-based strategies and practice skills to reduce stress symptoms and increase relaxation.  This 60-minute workshop allows you to practice and learn a variety of skills while gaining valuable information including:  - Breathing techniques to decrease stress and increase focus  - Muscle relaxation  - Strategies to recognize and challenge unhelpful thoughts  - Grounding techniques  - Stress management resources,Workshop,2/27/2024 3:30:00 PM,60,"Student Success Center, Counseling Center, 3105",False
879272,Anxiety Toolbox Part 3,,Workshop,2/27/2024 5:15:00 PM,60,Miller Hall 2106,False
877064,Reading with Jason Baltazar and Maria Jose Delgadillo,,Speaker,2/27/2024 5:30:00 PM,75,"The Union, Taylor 400",False
865763,Beyond the Crab Cake, Learn more and sign up on urecregister.jmu.edu!,Wellness - UREC,2/27/2024 7:00:00 PM,60,UREC Wellness Instruction (Room 129),False
854657,The SpongeBob Musical,"Who lives in a pineapple under the sea and became the hottest star on Broadway? Why, it’s SpongeBob SquarePants! Plunge into this stunning all-singing, all-dancing, dynamic stage show! When the citizens of Bikini Bottom discover that a volcano will soon erupt and destroy their humble home, SpongeBob and his friends come together to save the fate of their undersea world. With lives hanging in the balance and all hope lost, a most unexpected hero rises. The power of optimism really can save the world in this amazing musical featuring irresistible characters and magical music. This deep-sea pearl of a show is set to make a splash with audiences young and old. Featuring students from JMU’s School of Theatre and Dance and School of Music.Based On The Series by Stephen Hillenburg  Book by Kyle Jarrow  Musical Production Conceived by Tina Landau  Original Songs by Yolanda Adams, Steven Tyler and Joe Perry of Aerosmith, Sara Bareilles, Jonathan Coulton, Alex Ebert of Edward Sharpe & the Magnetic Zeros, The Flaming Lips, Lady A, Cyndi Lauper, John Legend, Panic! At the Disco, Plain White T’s, They Might Be Giants, T.I.  And Songs by David Bowie, Tom Kenny & Andy Paley  Additional Lyrics by Jonathan Coulton / Additional Music by Tom Kitt  Nickelodeon, SpongeBob SquarePants, and all related titles, logos, and characters are trademarks of Viacom International Inc.  BUY SUBSCRIPTION     BUY SINGLE TICKETS  Price  Regular: $27  Subscriber: $25  JMU Fac/Staff: $26  Senior (62+): $26  Students: $15  Child: $25  STUDENT TICKETS: One per ID. JMU Student - In Person and online via student login. Other Student - In Person only.  TICKETS: Online, In Person, or by phone at (540) 568-7000. No refunds. No exchanges for single tickets.  Seating: Reserved  Patron Policies   ",Performance,2/27/2024 7:30:00 PM,0,"Forbes Center, Mainstage Theatre",False
854665,"International Guitar Night With Luca Stricagnoli, Thu Le, Marco Pereira, and Minnie Marks","International Guitar Night (IGN) celebrates 24 years as the world’s premier touring guitar festival, bringing together four amazingly gifted luminaries to share an incredible evening of solos, duets, and quartets that highlight the diversity within the world of acoustic guitar. This concert features the amazing acoustic rock interpreter Luca Stricagnoli (Italy) whose latest invention, a custom triple necked guitar, is a viral sensation; the award-winning Thu Le (Vietnam) whose nylon string artistry stretches from classical to contemporary; Marco Pereira (Brazil) the master composer and teacher, and Minnie Marks (Australia) the blazingly talented blues slide guitar wizard and singer. IGN is a gathering of individuals who captivate on their own and then blow away the audience when they perform together! “This is a buffet of beautiful music.”     — Guitar Noise   BUY SUBSCRIPTION      BUY SINGLE TICKETS   Price  Regular: $42  Subscriber: $39  JMU Fac/Staff: $41  Senior (62+): $41  TICKETS: Online, In Person, or by phone at (540) 568-7000. No refunds. No exchanges for single tickets.   Seating: Reserved   Patron Policies",Concert,2/27/2024 8:00:00 PM,0,"Forbes Center, Concert Hall",False
870173,Tuesday Night Trivia,,Social,2/27/2024 8:00:00 PM,120,"The Union, TDU Stage",False
862733,Younglife College,,Social,2/27/2024 8:00:00 PM,60,"The Union, Taylor 405",False
877698,Anxiety Toolbox (Part 1)," Anxiety Toolbox offers one of the quickest ways to access evidence-based strategies and interventions to reduce anxiety symptoms. This series consists of three 50-minute structured workshops that build on the information shared in each part:Part 1 assists with understanding your anxiety, introduces controlled breathing for slowing down and disrupting the experience of anxiety and provides information to assist with healthy sleep.",Workshop,2/28/2024 9:00:00 AM,60,"Student Success Center, Counseling Center, 3105",False
879726,Why Do We Procrastinate?,,Workshop,2/28/2024 12:30:00 PM,60,Success Center 4049,False
874886,Mixed Media Painting,Join this in-person workshop for a relaxing hour of creating mixed media art using acrylic paints and household items. All supplies provided! Held in Rose Library room 5308. This is not a series—you’ll want to sign up for one of these available dates. ,Workshop,2/28/2024 2:00:00 PM,60,Rose Library TLT (5308),False
880579,DEIJA+ and Discussion,,Speaker,2/28/2024 2:30:00 PM,90,"The Union, Taylor 206",False
879225,Anxiety Toolbox Part 2,,Workshop,2/28/2024 2:45:00 PM,60,Success Center 1075,False
846453,Tea Time,,Social,2/28/2024 3:00:00 PM,120,The Union 3rd Floor Lounge,False
