Zone,Current Availability,Day of Week,month,hour,Fall Break,Family Weekend,Home Football Game,Home Football Game (Homecoming),Labor Day
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1458,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1459,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,0,0,0,0,0,1
22,1460,0,9,1,0,0,0,0,1
22,1460,0,9,1,0,0,0,0,1
22,1460,0,9,1,0,0,0,0,1
22,1460,0,9,1,0,0,0,0,1
22,1460,0,9,1,0,0,0,0,1
22,1460,0,9,1,0,0,0,0,1
22,1460,0,9,1,0,0,0,0,1
22,1460,0,9,1,0,0,0,0,1
